shot,beat,start_seconds,duration_seconds,camera,description
S01,COLD_OPEN,0,45,CAM_WindowReport,"Dixon already mid-curiosity at blinds; paw enters frame"
S02,TITLE,45,15,CAM_CatEye_A,"Title card over quiet window light"
S03,NAMES_CILA,60,4,CAM_HeroPortrait_Cila,"Cila upright, looking up and left"
S04,NAMES_DAGE,64,4,CAM_HeroPortrait_Dage,"Dage curled in cubby, slow blink"
S05,NAMES_DIXON,68,4,CAM_HeroPortrait_Dixon,"Dixon window correspondent pose"
S06,MORNING_GEOGRAPHY,72,36,CAM_CatEye_A,"Cat-height home geography, gentle pan"
S07,HOMEBASE_CILA,108,24,CAM_PorchWide,"Cila at porch threshold, checks corners"
S08,HOMEBASE_DAGE,132,24,CAM_CondoPeek,"Dage in cubby, tail fills foreground"
S09,HOMEBASE_DIXON,156,24,CAM_WindowReport,"Dixon at sill; outside world beyond slats"
S10,THE_NOTICE,180,36,CAM_WindowReport,"Dixon bats blind; slats tilt and stripe moves"
S11,OTHERS_ARRIVE,216,36,CAM_CatEye_A,"Cila approaches; Dage observes above"
S12,FIRST_LOOK,252,42,CAM_Insert_Paws,"Paws, cord, slat edge; no rush"
S13,FIRST_SNIFF,294,42,CAM_Insert_Eyes,"Three reactions: look, sniff, slow blink"
S14,EXPLODED_SIMPLE,336,54,CAM_WindowReport,"Labels: blinds, slats, window, daylight"
S15,PAW_EXPERIMENT,390,48,CAM_Insert_Paws,"Paw bats slat; stripe travels across carpet"
S16,TRUE_FACT,438,42,CAM_WindowReport,"Slats are many small doors for light"
S17,CILA_TRACES,480,48,CAM_CatEye_A,"Cila traces the moving stripe"
S18,DAGE_STRIPE,528,48,CAM_CondoPeek,"Stripe reaches teal blanket; Dage steps down"
S19,SHARED_TEST,576,60,CAM_PorchWide,"They leave one slat open"
S20,CAT_WINDOW,636,54,CAM_WindowReport,"The trio settle at the small view"
S21,QUIET_PLAY,690,48,CAM_CatEye_A,"Grooming, tail talk, shared stare"
S22,CALLBACK,738,48,CAM_Insert_Paws,"Dixon checks the slat once more"
S23,RECAP_1,786,36,CAM_WindowReport,"Blinds control light"
S24,RECAP_2,822,36,CAM_Insert_Paws,"Light stripes move"
S25,RECAP_3,858,36,CAM_CondoPeek,"One slat can make a cat window"
S26,BUTTON_ENDCARD,894,126,CAM_CatEye_A,"All three in frame; lights lower; slow blinks"
